id,defect_id,model,final_code,final_label,clf_code,source
28,fmtlib___fmt@6a13464059,qwen3-coder,4,Missing include/type,4,audit
29,fmtlib___fmt@96c18b26c2,gemini-2.5-flash,3,Hallucinated/wrong API,3,fence->underlying
30,fmtlib___fmt@971fb584c3,deepseek-chat,6,Access control,6,audit
31,fmtlib___fmt@971fb584c3,deepseek-chat,3,Hallucinated/wrong API,3,audit
32,fmtlib___fmt@971fb584c3,deepseek-chat,3,Hallucinated/wrong API,3,audit
33,fmtlib___fmt@971fb584c3,gemini-2.5-flash,4,Missing include/type,4,audit
34,fmtlib___fmt@971fb584c3,gemini-2.5-flash,4,Missing include/type,4,audit
35,fmtlib___fmt@971fb584c3,gemini-2.5-flash,4,Missing include/type,4,audit
36,fmtlib___fmt@971fb584c3,gpt-5.4-or,3,Hallucinated/wrong API,3,audit
37,fmtlib___fmt@c04fb91b03,deepseek-chat,3,Hallucinated/wrong API,3,audit
38,fmtlib___fmt@c04fb91b03,gemini-2.5-flash,3,Hallucinated/wrong API,3,audit
39,fmtlib___fmt@c04fb91b03,gemini-2.5-flash,3,Hallucinated/wrong API,3,audit
40,fmtlib___fmt@c04fb91b03,gpt-5.4-or,5,Template/overload deduction,5,audit
41,fmtlib___fmt@c04fb91b03,gpt-5.4-or,3,Hallucinated/wrong API,3,audit
42,fmtlib___fmt@c04fb91b03,gpt-5.4-or,3,Hallucinated/wrong API,3,audit
43,fmtlib___fmt@c04fb91b03,qwen3-coder,3,Hallucinated/wrong API,3,audit
44,fmtlib___fmt@c1d430e61a,gemini-2.5-flash,3,Hallucinated/wrong API,3,audit
45,fmtlib___fmt@c1d430e61a,gemini-2.5-flash,4,Missing include/type,4,audit
46,fmtlib___fmt@cd7202e039,gemini-2.5-flash,3,Hallucinated/wrong API,3,audit
47,fmtlib___fmt@cd7202e039,gemini-2.5-flash,12,Test-harness/macro misuse,12,fence->underlying
48,fmtlib___fmt@e6b37b4aff,deepseek-chat,3,Hallucinated/wrong API,3,audit
49,fmtlib___fmt@e6b37b4aff,deepseek-chat,3,Hallucinated/wrong API,3,audit
50,fmtlib___fmt@e6b37b4aff,gpt-5.4-or,4,Missing include/type,4,audit
51,fmtlib___fmt@e6b37b4aff,gpt-5.4-or,4,Missing include/type,4,audit
52,fmtlib___fmt@e6b37b4aff,gpt-5.4-or,3,Hallucinated/wrong API,3,audit
53,skypjack___entt@ad5bb5198b,deepseek-chat,12,Test-harness/macro misuse,12,audit(macro->12)
54,skypjack___entt@ad5bb5198b,deepseek-chat,6,Access control,6,audit
55,skypjack___entt@ad5bb5198b,deepseek-chat,12,Test-harness/macro misuse,12,audit(macro->12)
56,skypjack___entt@ad5bb5198b,gemini-2.5-flash,12,Test-harness/macro misuse,12,audit(macro->12)
57,skypjack___entt@ad5bb5198b,gemini-2.5-flash,12,Test-harness/macro misuse,12,audit(macro->12)
58,skypjack___entt@ad5bb5198b,gemini-2.5-flash,12,Test-harness/macro misuse,12,audit(macro->12)
59,skypjack___entt@ad5bb5198b,gpt-5.4-or,12,Test-harness/macro misuse,12,audit(macro->12)
60,skypjack___entt@ad5bb5198b,gpt-5.4-or,3,Hallucinated/wrong API,3,audit
61,skypjack___entt@ad5bb5198b,gpt-5.4-or,12,Test-harness/macro misuse,12,audit(macro->12)
62,skypjack___entt@ad5bb5198b,qwen3-coder,12,Test-harness/macro misuse,12,audit(macro->12)
63,skypjack___entt@ad5bb5198b,qwen3-coder,6,Access control,6,audit
64,skypjack___entt@ad5bb5198b,qwen3-coder,12,Test-harness/macro misuse,12,audit(macro->12)
65,skypjack___entt@cf0da32fd0,deepseek-chat,1,UDL/namespace,1,audit
66,skypjack___entt@cf0da32fd0,deepseek-chat,1,UDL/namespace,1,audit
67,skypjack___entt@cf0da32fd0,gemini-2.5-flash,12,Test-harness/macro misuse,12,audit(macro->12)
68,skypjack___entt@cf0da32fd0,gemini-2.5-flash,1,UDL/namespace,1,fence->underlying
69,skypjack___entt@cf0da32fd0,gemini-2.5-flash,12,Test-harness/macro misuse,12,fence->underlying
70,skypjack___entt@cf0da32fd0,gpt-5.4-or,3,Hallucinated/wrong API,3,audit
71,skypjack___entt@cf0da32fd0,gpt-5.4-or,3,Hallucinated/wrong API,3,audit
72,skypjack___entt@cf0da32fd0,gpt-5.4-or,1,UDL/namespace,1,audit
