id,defect_id,model,project,error,label,notes
31,fmtlib___fmt@cd7202e039,gemini-2.5-flash,fmtlib___fmt,"no type named ‘type’ in ‘struct std::enable_if<false, int>’",,
32,fmtlib___fmt@cd7202e039,gemini-2.5-flash,fmtlib___fmt,"‘struct fmt::v9::detail::arg_data<fmt::v9::detail::value<fmt::v9::basic_format_context<fmt::v9::appender, char> >, char, 1, 0>’ has no member named ‘named_args’",,
33,fmtlib___fmt@971fb584c3,gemini-2.5-flash,fmtlib___fmt,static assertion failed: formatting of non-void pointers is disallowed,,
34,fmtlib___fmt@971fb584c3,gemini-2.5-flash,fmtlib___fmt,FATAL_FAILURE_) | ^~~~~~~~~~~~~~~~~ /home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@971fb584c3/gemini-2.5-flash/run3/test.cpp:128:5: note: in expansion of macro ‘EXPECT_THROW’ 128 | EXPECT_THROW( | ^~~~~~~~~~~~,,
35,fmtlib___fmt@971fb584c3,gemini-2.5-flash,fmtlib___fmt,fmt/compile.h: No such file or directory,,
36,fmtlib___fmt@971fb584c3,gpt-5.4-or,fmtlib___fmt,‘runtime’ is not a member of ‘fmt’,,
37,fmtlib___fmt@971fb584c3,deepseek-chat,fmtlib___fmt,"~~~~~~~~~~~~~~~~~~ /home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@971fb584c3/deepseek-chat/run1/test.cpp:167:5: note: in expansion of macro ‘EXPECT_EQ’ 167 | EXPECT_EQ(99, arg.template get<int>()); | ^~~~~~~~~",,
38,fmtlib___fmt@971fb584c3,deepseek-chat,fmtlib___fmt,‘fmt::basic_context<wchar_t>::formatter_type<fmt::basic_arg<fmt::basic_context<wchar_t> > > f’ has incomplete type,,
39,fmtlib___fmt@971fb584c3,deepseek-chat,fmtlib___fmt,"/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@971fb584c3/deepseek-chat/run2/test.cpp:195:5: note: in expansion of macro ‘EXPECT_THROW’ 195 | EXPECT_THROW(ctx.get_arg(""anything""), fmt::format_error); | ^~~~~~~~~~~~",,
40,fmtlib___fmt@971fb584c3,deepseek-chat,fmtlib___fmt,"2026/study/data/raw/fmtlib___fmt@971fb584c3/deepseek-chat/buggy/run1/test.cpp:174:5: note: in expansion of macro ‘EXPECT_EQ’ 174 | EXPECT_EQ(100, fmt::visit([](auto v) { return static_cast<int>(v); }, arg2)); | ^~~~~~~~~",,
41,fmtlib___fmt@971fb584c3,deepseek-chat,fmtlib___fmt,no matching function for call to ‘fmt::basic_context<char>::basic_context(fmt::format_args&)’,,
42,fmtlib___fmt@971fb584c3,deepseek-chat,fmtlib___fmt,‘fmt::basic_context<wchar_t>::formatter_type<fmt::basic_arg<fmt::basic_context<wchar_t> > > f’ has incomplete type,,
43,fmtlib___fmt@96c18b26c2,gemini-2.5-flash,fmtlib___fmt,‘class std::__new_allocator<wchar_t>’ has no member named ‘_M_max_size’,,
44,CLIUtils___CLI11@020a21afc6,qwen3-coder,CLIUtils___CLI11,expected primary-expression,,
45,CLIUtils___CLI11@020a21afc6,qwen3-coder,CLIUtils___CLI11,expected primary-expression,,
46,fmtlib___fmt@611cf0b3c6,gemini-2.5-flash,fmtlib___fmt,"‘class std::__new_allocator<std::_Sp_counted_ptr_inplace<std::mutex, std::allocator<void>, __gnu_cxx::_S_atomic> >’ has no member named ‘_M_max_size’",,
47,fmtlib___fmt@611cf0b3c6,gemini-2.5-flash,fmtlib___fmt,"~~~~~~~ /home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@611cf0b3c6/gemini-2.5-flash/run2/test.cpp:190:3: note: in expansion of macro ‘EXPECT_EQ’ 190 | EXPECT_EQ(fmt::format(""{:05o}"", val), ""00012""); | ^~~~~~~~~",,
48,skypjack___entt@cf0da32fd0,gemini-2.5-flash,skypjack___entt,‘forward_as_meta’ is not a member of ‘entt’,,
49,skypjack___entt@cf0da32fd0,gemini-2.5-flash,skypjack___entt,"‘class std::__new_allocator<std::_Sp_counted_ptr_inplace<std::mutex, std::allocator<void>, __gnu_cxx::_S_atomic> >’ has no member named ‘_M_max_size’",,
50,skypjack___entt@cf0da32fd0,gemini-2.5-flash,skypjack___entt,"‘class std::__new_allocator<std::_Sp_counted_ptr_inplace<std::mutex, std::allocator<void>, __gnu_cxx::_S_atomic> >’ has no member named ‘_M_max_size’",,
51,skypjack___entt@cf0da32fd0,gpt-5.4-or,skypjack___entt,n) | ^~~~~~~~~~~~~~~~~~ /home/truclinh/Thesis/kse2026/study/data/raw/skypjack___entt@cf0da32fd0/gpt-5.4-or/run1/test.cpp:175:5: note: in expansion of macro ‘ASSERT_FALSE’ 175 | ASSERT_FALSE(assoc.empty()); | ^~~~~~~~~~~~,,
52,skypjack___entt@cf0da32fd0,gpt-5.4-or,skypjack___entt,"invalid ‘static_cast’ from type ‘std::remove_reference<std::pair<const int, {anonymous}::boxed_int>&>::type’ {aka ‘std::pair<const int, {anonymous}::boxed_int>’",,
53,skypjack___entt@cf0da32fd0,gpt-5.4-or,skypjack___entt,‘meta_any_cast’ is not a member of ‘entt’; did you mean ‘meta_any’?,,
54,skypjack___entt@cf0da32fd0,deepseek-chat,skypjack___entt,expected primary-expression before ‘>’ token,,
55,skypjack___entt@cf0da32fd0,deepseek-chat,skypjack___entt,‘class entt::meta_any’ has no member named ‘as_ref’,,
56,skypjack___entt@cf0da32fd0,deepseek-chat,skypjack___entt,‘forward_as_meta’ is not a member of ‘entt’,,
57,skypjack___entt@cf0da32fd0,deepseek-chat,skypjack___entt,"s/kse2026/study/data/raw/skypjack___entt@cf0da32fd0/deepseek-chat/buggy/run3/test.cpp:179:5: note: in expansion of macro ‘EXPECT_DOUBLE_EQ’ 179 | EXPECT_DOUBLE_EQ(pair_ptr->second.cast<double>(), 5.5); | ^~~~~~~~~~~~~~~~",,
58,skypjack___entt@cf0da32fd0,deepseek-chat,skypjack___entt,"hesis/kse2026/study/data/raw/skypjack___entt@cf0da32fd0/deepseek-chat/buggy/run2/test.cpp:102:5: note: in expansion of macro ‘ASSERT_DOUBLE_EQ’ 102 | ASSERT_DOUBLE_EQ(pair->second.cast<double>(), 1.0); | ^~~~~~~~~~~~~~~~",,
59,fmtlib___fmt@279d698e1b,deepseek-chat,fmtlib___fmt,cannot bind non-const lvalue reference of type ‘std::__cxx11::basic_string<char>&’ to an rvalue of type ‘std::string’ {aka ‘std::__cxx11::basic_string<char>’},,
60,fmtlib___fmt@6a13464059,gemini-2.5-flash,fmtlib___fmt,static assertion failed: Formatting of non-void pointers is disallowed.,,
61,fmtlib___fmt@6a13464059,gemini-2.5-flash,fmtlib___fmt,static assertion failed: Cannot format an argument. To make type T formattable provide a formatter<T> specialization: https://fmt.dev/latest/api.html#udt,,
62,fmtlib___fmt@6a13464059,gemini-2.5-flash,fmtlib___fmt,static assertion failed: Formatting of non-void pointers is disallowed.,,
63,fmtlib___fmt@6a13464059,qwen3-coder,fmtlib___fmt,"c_cast<unsigned int>(42)), | ^~~~~~~~~~~~ /home/truclinh/Thesis/kse2026/fmt_spike/include/fmt/core.h:3123:31: note: declared here 3123 | FMT_NODISCARD FMT_INLINE auto format(format_string<T...> fmt, T&&... args) | ^~~~~~",,
64,fmtlib___fmt@6a13464059,qwen3-coder,fmtlib___fmt,static assertion failed: Cannot format an argument. To make type T formattable provide a formatter<T> specialization: https://fmt.dev/latest/api.html#udt,,
65,CLIUtils___CLI11@de215ef978,gemini-2.5-flash,CLIUtils___CLI11,"~~ /home/truclinh/Thesis/kse2026/study/data/raw/CLIUtils___CLI11@de215ef978/gemini-2.5-flash/run1/test.cpp:257:5: note: in expansion of macro ‘EXPECT_EQ’ 257 | EXPECT_EQ(app.remaining_for_help()[1], ""extra""); | ^~~~~~~~~",,
66,CLIUtils___CLI11@de215ef978,gemini-2.5-flash,CLIUtils___CLI11,_spike/include/CLI/ConfigFwd.hpp:54:37: note: ‘virtual std::vector<CLI::ConfigItem> CLI::Config::from_config(std::istream&) const’ 54 | virtual std::vector<ConfigItem> from_config(std::istream &) const = 0; | ^~~~~~~~~~~,,
67,CLIUtils___CLI11@de215ef978,deepseek-chat,CLIUtils___CLI11,‘class CLI::Option’ has no member named ‘callback’; did you mean ‘CLI::callback_t CLI::Option::callback_’? (not accessible from this context),,
68,fmtlib___fmt@c1d430e61a,gemini-2.5-flash,fmtlib___fmt,":internal::buffer<char> >; Char = char]’ 1133 | basic_format_context(OutputIt out, | ^~~~~~~~~~~~~~~~~~~~ /home/truclinh/Thesis/kse2026/fmt_spike/include/fmt/core.h:1133:3: note: candidate expects 3 arguments, 1 provided",,
69,fmtlib___fmt@c1d430e61a,gemini-2.5-flash,fmtlib___fmt,‘formatter’ was not declared in this scope; did you mean ‘fmt::v5::formatter’?,,
70,fmtlib___fmt@e6b37b4aff,gpt-5.4-or,fmtlib___fmt,fmt/xchar.h: No such file or directory,,
71,fmtlib___fmt@e6b37b4aff,gpt-5.4-or,fmtlib___fmt,‘fmt::detail’ has not been declared,,
72,fmtlib___fmt@e6b37b4aff,gpt-5.4-or,fmtlib___fmt,fmt/xchar.h: No such file or directory,,
73,fmtlib___fmt@e6b37b4aff,deepseek-chat,fmtlib___fmt,‘fmt::detail’ has not been declared,,
74,fmtlib___fmt@e6b37b4aff,deepseek-chat,fmtlib___fmt,‘fmt::detail’ has not been declared,,
75,CLIUtils___CLI11@dcbcb4721d,gemini-2.5-flash,CLIUtils___CLI11,‘class CLI::Option’ has no member named ‘set_config_option_key’,,
76,CLIUtils___CLI11@dcbcb4721d,gemini-2.5-flash,CLIUtils___CLI11,‘class CLI::App’ has no member named ‘parse_config’; did you mean ‘_parse_config’?,,
77,CLIUtils___CLI11@dcbcb4721d,gpt-5.4-or,CLIUtils___CLI11,"‘class CLI::Option’ has no member named ‘default_flag_values’; did you mean ‘std::vector<std::pair<std::__cxx11::basic_string<char>, std::__cxx11::basic_string<",,
78,CLIUtils___CLI11@dcbcb4721d,qwen3-coder,CLIUtils___CLI11,"nversion for argument 2 from ‘const char [10]’ to ‘std::function<void(long int)>’ 665 | std::function<void(std::int64_t)> function, ///< A function to call, void(std::int64_t) | ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^~~~~~~~",,
79,CLIUtils___CLI11@dcbcb4721d,deepseek-chat,CLIUtils___CLI11,‘class CLI::App’ has no member named ‘config_to_stream’; did you mean ‘config_to_str’?,,
80,fmtlib___fmt@c04fb91b03,gemini-2.5-flash,fmtlib___fmt,‘runtime’ is not a member of ‘fmt’,,
81,fmtlib___fmt@c04fb91b03,gemini-2.5-flash,fmtlib___fmt,"lude/fmt/core.h:553:28: note: cannot convert ‘*(const MyEnum*)arg’ (type ‘const MyEnum’) to type ‘const int&’ 553 | ctx.advance_to(f.format(*static_cast<const T*>(arg), ctx)); | ~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",,
82,fmtlib___fmt@c04fb91b03,gpt-5.4-or,fmtlib___fmt," convert ‘*(const {anonymous}::BigUnsigned*)arg’ (type ‘const {anonymous}::BigUnsigned’) to type ‘const int&’ 553 | ctx.advance_to(f.format(*static_cast<const T*>(arg), ctx)); | ~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",,
83,fmtlib___fmt@c04fb91b03,gpt-5.4-or,fmtlib___fmt,"vert ‘*(const {anonymous}::SmallUnsigned*)arg’ (type ‘const {anonymous}::SmallUnsigned’) to type ‘const int&’ 553 | ctx.advance_to(f.format(*static_cast<const T*>(arg), ctx)); | ~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",,
84,fmtlib___fmt@c04fb91b03,gpt-5.4-or,fmtlib___fmt,"ot convert ‘*(const {anonymous}::TinySigned*)arg’ (type ‘const {anonymous}::TinySigned’) to type ‘const int&’ 553 | ctx.advance_to(f.format(*static_cast<const T*>(arg), ctx)); | ~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",,
85,fmtlib___fmt@c04fb91b03,qwen3-coder,fmtlib___fmt,"rg’ (type ‘const EnumFormatterTest_FormattingWithLargeEnum_Test::TestBody()::LargeEnum’) to type ‘const int&’ 553 | ctx.advance_to(f.format(*static_cast<const T*>(arg), ctx)); | ~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",,
86,fmtlib___fmt@c04fb91b03,deepseek-chat,fmtlib___fmt,"nclude/fmt/core.h:553:28: note: cannot convert ‘*(const Color*)arg’ (type ‘const Color’) to type ‘const int&’ 553 | ctx.advance_to(f.format(*static_cast<const T*>(arg), ctx)); | ~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",,
87,fmtlib___fmt@c04fb91b03,deepseek-chat,fmtlib___fmt,‘class std::__cxx11::basic_string<char>’ has no member named ‘resize’,,
88,fmtlib___fmt@c04fb91b03,deepseek-chat,fmtlib___fmt,"::AllDigits*)arg’ (type ‘const EnumFormatterTest_AllDigits_Test::TestBody()::AllDigits’) to type ‘const int&’ 553 | ctx.advance_to(f.format(*static_cast<const T*>(arg), ctx)); | ~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",,
89,fmtlib___fmt@c04fb91b03,deepseek-chat,fmtlib___fmt,"e.h:553:28: note: cannot convert ‘*(const UnsignedEnum*)arg’ (type ‘const UnsignedEnum’) to type ‘const int&’ 553 | ctx.advance_to(f.format(*static_cast<const T*>(arg), ctx)); | ~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",,
90,fmtlib___fmt@287eaab3b2,gemini-2.5-flash,fmtlib___fmt,‘class std::__cxx11::basic_string<char>’ has no member named ‘resize’,,
91,fmtlib___fmt@287eaab3b2,gemini-2.5-flash,fmtlib___fmt,‘appender’ is not a member of ‘fmt’,,
