id,defect_id,model,project,focal_path,test_path,label,notes
11,fmtlib___fmt@cd7202e039,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/buggy/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@cd7202e039/deepseek-chat/buggy/run2/test.cpp,,
12,fmtlib___fmt@971fb584c3,gpt-5.4-or,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@971fb584c3/gpt-5.4-or/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@971fb584c3/gpt-5.4-or/run1/test.cpp,,
13,fmtlib___fmt@971fb584c3,gpt-5.4-or,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@971fb584c3/gpt-5.4-or/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@971fb584c3/gpt-5.4-or/run2/test.cpp,,
14,fmtlib___fmt@971fb584c3,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@971fb584c3/qwen3-coder/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@971fb584c3/qwen3-coder/run1/test.cpp,,
15,fmtlib___fmt@971fb584c3,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@971fb584c3/qwen3-coder/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@971fb584c3/qwen3-coder/run3/test.cpp,,
16,fmtlib___fmt@971fb584c3,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@971fb584c3/qwen3-coder/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@971fb584c3/qwen3-coder/run2/test.cpp,,
17,fmtlib___fmt@96c18b26c2,gemini-2.5-flash,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/gemini-2.5-flash/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/gemini-2.5-flash/run1/test.cpp,,
18,fmtlib___fmt@96c18b26c2,gemini-2.5-flash,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/gemini-2.5-flash/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/gemini-2.5-flash/run3/test.cpp,,
19,fmtlib___fmt@96c18b26c2,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/qwen3-coder/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/qwen3-coder/run1/test.cpp,,
20,fmtlib___fmt@96c18b26c2,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/qwen3-coder/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/qwen3-coder/run3/test.cpp,,
21,fmtlib___fmt@96c18b26c2,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/qwen3-coder/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/qwen3-coder/run2/test.cpp,,
22,fmtlib___fmt@96c18b26c2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/run1/test.cpp,,
23,fmtlib___fmt@96c18b26c2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/run3/test.cpp,,
24,fmtlib___fmt@96c18b26c2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/run2/test.cpp,,
25,fmtlib___fmt@96c18b26c2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/buggy/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/buggy/run1/test.cpp,,
26,fmtlib___fmt@96c18b26c2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/buggy/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/buggy/run3/test.cpp,,
27,fmtlib___fmt@96c18b26c2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/buggy/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/buggy/run2/test.cpp,,
28,CLIUtils___CLI11@020a21afc6,gpt-5.4-or,CLIUtils___CLI11,/home/truclinh/Thesis/kse2026/artifact/data/raw/CLIUtils___CLI11@020a21afc6/gpt-5.4-or/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/CLIUtils___CLI11@020a21afc6/gpt-5.4-or/run3/test.cpp,,
29,CLIUtils___CLI11@020a21afc6,qwen3-coder,CLIUtils___CLI11,/home/truclinh/Thesis/kse2026/artifact/data/raw/CLIUtils___CLI11@020a21afc6/qwen3-coder/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/CLIUtils___CLI11@020a21afc6/qwen3-coder/run1/test.cpp,,
30,fmtlib___fmt@611cf0b3c6,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@611cf0b3c6/qwen3-coder/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@611cf0b3c6/qwen3-coder/run3/test.cpp,,
31,fmtlib___fmt@279d698e1b,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@279d698e1b/deepseek-chat/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@279d698e1b/deepseek-chat/run3/test.cpp,,
32,fmtlib___fmt@279d698e1b,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@279d698e1b/deepseek-chat/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@279d698e1b/deepseek-chat/run2/test.cpp,,
33,fmtlib___fmt@279d698e1b,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@279d698e1b/deepseek-chat/buggy/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@279d698e1b/deepseek-chat/buggy/run2/test.cpp,,
34,fmtlib___fmt@6a13464059,gpt-5.4-or,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@6a13464059/gpt-5.4-or/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@6a13464059/gpt-5.4-or/run3/test.cpp,,
35,fmtlib___fmt@6a13464059,gpt-5.4-or,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@6a13464059/gpt-5.4-or/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@6a13464059/gpt-5.4-or/run2/test.cpp,,
36,fmtlib___fmt@6a13464059,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@6a13464059/qwen3-coder/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@6a13464059/qwen3-coder/run1/test.cpp,,
37,fmtlib___fmt@6a13464059,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@6a13464059/deepseek-chat/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@6a13464059/deepseek-chat/run3/test.cpp,,
38,fmtlib___fmt@6a13464059,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@6a13464059/deepseek-chat/buggy/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@6a13464059/deepseek-chat/buggy/run1/test.cpp,,
39,fmtlib___fmt@6a13464059,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@6a13464059/deepseek-chat/buggy/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@6a13464059/deepseek-chat/buggy/run3/test.cpp,,
40,fmtlib___fmt@6a13464059,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@6a13464059/deepseek-chat/buggy/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@6a13464059/deepseek-chat/buggy/run2/test.cpp,,
41,fmtlib___fmt@fc6e0fe992,gemini-2.5-flash,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@fc6e0fe992/gemini-2.5-flash/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@fc6e0fe992/gemini-2.5-flash/run3/test.cpp,,
42,fmtlib___fmt@fc6e0fe992,gpt-5.4-or,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@fc6e0fe992/gpt-5.4-or/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@fc6e0fe992/gpt-5.4-or/run1/test.cpp,,
43,fmtlib___fmt@fc6e0fe992,gpt-5.4-or,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@fc6e0fe992/gpt-5.4-or/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@fc6e0fe992/gpt-5.4-or/run3/test.cpp,,
44,fmtlib___fmt@fc6e0fe992,gpt-5.4-or,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@fc6e0fe992/gpt-5.4-or/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@fc6e0fe992/gpt-5.4-or/run2/test.cpp,,
45,fmtlib___fmt@fc6e0fe992,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@fc6e0fe992/deepseek-chat/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@fc6e0fe992/deepseek-chat/run3/test.cpp,,
46,fmtlib___fmt@fc6e0fe992,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@fc6e0fe992/deepseek-chat/buggy/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@fc6e0fe992/deepseek-chat/buggy/run1/test.cpp,,
47,CLIUtils___CLI11@dcbcb4721d,deepseek-chat,CLIUtils___CLI11,/home/truclinh/Thesis/kse2026/artifact/data/raw/CLIUtils___CLI11@dcbcb4721d/deepseek-chat/buggy/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/CLIUtils___CLI11@dcbcb4721d/deepseek-chat/buggy/run1/test.cpp,,
48,CLIUtils___CLI11@dcbcb4721d,deepseek-chat,CLIUtils___CLI11,/home/truclinh/Thesis/kse2026/artifact/data/raw/CLIUtils___CLI11@dcbcb4721d/deepseek-chat/buggy/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/CLIUtils___CLI11@dcbcb4721d/deepseek-chat/buggy/run3/test.cpp,,
49,fmtlib___fmt@c04fb91b03,gemini-2.5-flash,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@c04fb91b03/gemini-2.5-flash/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@c04fb91b03/gemini-2.5-flash/run3/test.cpp,,
50,fmtlib___fmt@287eaab3b2,gpt-5.4-or,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/gpt-5.4-or/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/gpt-5.4-or/run1/test.cpp,,
51,fmtlib___fmt@287eaab3b2,gpt-5.4-or,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/gpt-5.4-or/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/gpt-5.4-or/run3/test.cpp,,
52,fmtlib___fmt@287eaab3b2,gpt-5.4-or,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/gpt-5.4-or/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/gpt-5.4-or/run2/test.cpp,,
53,fmtlib___fmt@287eaab3b2,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/qwen3-coder/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/qwen3-coder/run1/test.cpp,,
54,fmtlib___fmt@287eaab3b2,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/qwen3-coder/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/qwen3-coder/run2/test.cpp,,
55,fmtlib___fmt@287eaab3b2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/run1/test.cpp,,
56,fmtlib___fmt@287eaab3b2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/run3/test.cpp,,
57,fmtlib___fmt@287eaab3b2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/run2/test.cpp,,
58,fmtlib___fmt@287eaab3b2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/buggy/run1/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/buggy/run1/test.cpp,,
59,fmtlib___fmt@287eaab3b2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/buggy/run3/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/buggy/run3/test.cpp,,
60,fmtlib___fmt@287eaab3b2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/buggy/run2/focal.txt,/home/truclinh/Thesis/kse2026/artifact/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/buggy/run2/test.cpp,,
