defect_id,model,project,test_path,coder1,coder2
fmtlib___fmt@96c18b26c2,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@96c18b26c2/qwen3-coder/run3/test.cpp,,
fmtlib___fmt@96c18b26c2,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@96c18b26c2/qwen3-coder/run2/test.cpp,,
fmtlib___fmt@96c18b26c2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/run1/test.cpp,,
fmtlib___fmt@96c18b26c2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/run3/test.cpp,,
fmtlib___fmt@96c18b26c2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/run2/test.cpp,,
fmtlib___fmt@96c18b26c2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/buggy/run1/test.cpp,,
fmtlib___fmt@96c18b26c2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/buggy/run3/test.cpp,,
fmtlib___fmt@96c18b26c2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@96c18b26c2/deepseek-chat/buggy/run2/test.cpp,,
CLIUtils___CLI11@020a21afc6,qwen3-coder,CLIUtils___CLI11,/home/truclinh/Thesis/kse2026/study/data/raw/CLIUtils___CLI11@020a21afc6/qwen3-coder/run1/test.cpp,,
fmtlib___fmt@611cf0b3c6,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@611cf0b3c6/qwen3-coder/run3/test.cpp,,
fmtlib___fmt@279d698e1b,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@279d698e1b/deepseek-chat/run3/test.cpp,,
fmtlib___fmt@279d698e1b,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@279d698e1b/deepseek-chat/run2/test.cpp,,
fmtlib___fmt@279d698e1b,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@279d698e1b/deepseek-chat/buggy/run2/test.cpp,,
fmtlib___fmt@6a13464059,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@6a13464059/qwen3-coder/run1/test.cpp,,
fmtlib___fmt@6a13464059,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@6a13464059/deepseek-chat/run3/test.cpp,,
fmtlib___fmt@6a13464059,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@6a13464059/deepseek-chat/buggy/run1/test.cpp,,
fmtlib___fmt@6a13464059,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@6a13464059/deepseek-chat/buggy/run3/test.cpp,,
fmtlib___fmt@6a13464059,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@6a13464059/deepseek-chat/buggy/run2/test.cpp,,
fmtlib___fmt@fc6e0fe992,gemini-2.5-flash,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@fc6e0fe992/gemini-2.5-flash/run3/test.cpp,,
fmtlib___fmt@fc6e0fe992,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@fc6e0fe992/deepseek-chat/run3/test.cpp,,
fmtlib___fmt@fc6e0fe992,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@fc6e0fe992/deepseek-chat/buggy/run1/test.cpp,,
CLIUtils___CLI11@dcbcb4721d,deepseek-chat,CLIUtils___CLI11,/home/truclinh/Thesis/kse2026/study/data/raw/CLIUtils___CLI11@dcbcb4721d/deepseek-chat/buggy/run1/test.cpp,,
CLIUtils___CLI11@dcbcb4721d,deepseek-chat,CLIUtils___CLI11,/home/truclinh/Thesis/kse2026/study/data/raw/CLIUtils___CLI11@dcbcb4721d/deepseek-chat/buggy/run3/test.cpp,,
fmtlib___fmt@c04fb91b03,gemini-2.5-flash,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@c04fb91b03/gemini-2.5-flash/run3/test.cpp,,
fmtlib___fmt@287eaab3b2,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@287eaab3b2/qwen3-coder/run1/test.cpp,,
fmtlib___fmt@287eaab3b2,qwen3-coder,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@287eaab3b2/qwen3-coder/run2/test.cpp,,
fmtlib___fmt@287eaab3b2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/run1/test.cpp,,
fmtlib___fmt@287eaab3b2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/run3/test.cpp,,
fmtlib___fmt@287eaab3b2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/run2/test.cpp,,
fmtlib___fmt@287eaab3b2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/buggy/run1/test.cpp,,
fmtlib___fmt@287eaab3b2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/buggy/run3/test.cpp,,
fmtlib___fmt@287eaab3b2,deepseek-chat,fmtlib___fmt,/home/truclinh/Thesis/kse2026/study/data/raw/fmtlib___fmt@287eaab3b2/deepseek-chat/buggy/run2/test.cpp,,
