id,defect_id,model,run_id,project,auto_code,auto_label,first_error
46,fmtlib___fmt@cd7202e039,gemini-2.5-flash,1,fmtlib___fmt,10,Other / uncategorized,
47,fmtlib___fmt@cd7202e039,gemini-2.5-flash,3,fmtlib___fmt,10,Other / uncategorized,
48,fmtlib___fmt@e6b37b4aff,deepseek-chat,2,fmtlib___fmt,10,Other / uncategorized,
49,fmtlib___fmt@e6b37b4aff,deepseek-chat,3,fmtlib___fmt,10,Other / uncategorized,
50,fmtlib___fmt@e6b37b4aff,gpt-5.4-or,1,fmtlib___fmt,10,Other / uncategorized,
51,fmtlib___fmt@e6b37b4aff,gpt-5.4-or,2,fmtlib___fmt,10,Other / uncategorized,
52,fmtlib___fmt@e6b37b4aff,gpt-5.4-or,3,fmtlib___fmt,10,Other / uncategorized,
53,skypjack___entt@ad5bb5198b,deepseek-chat,1,skypjack___entt,10,Other / uncategorized,
54,skypjack___entt@ad5bb5198b,deepseek-chat,2,skypjack___entt,10,Other / uncategorized,
55,skypjack___entt@ad5bb5198b,deepseek-chat,3,skypjack___entt,10,Other / uncategorized,
56,skypjack___entt@ad5bb5198b,gemini-2.5-flash,1,skypjack___entt,10,Other / uncategorized,
57,skypjack___entt@ad5bb5198b,gemini-2.5-flash,2,skypjack___entt,10,Other / uncategorized,
58,skypjack___entt@ad5bb5198b,gemini-2.5-flash,3,skypjack___entt,10,Other / uncategorized,
59,skypjack___entt@ad5bb5198b,gpt-5.4-or,1,skypjack___entt,10,Other / uncategorized,
60,skypjack___entt@ad5bb5198b,gpt-5.4-or,2,skypjack___entt,10,Other / uncategorized,
61,skypjack___entt@ad5bb5198b,gpt-5.4-or,3,skypjack___entt,10,Other / uncategorized,
62,skypjack___entt@ad5bb5198b,qwen3-coder,1,skypjack___entt,10,Other / uncategorized,
63,skypjack___entt@ad5bb5198b,qwen3-coder,2,skypjack___entt,10,Other / uncategorized,
64,skypjack___entt@ad5bb5198b,qwen3-coder,3,skypjack___entt,10,Other / uncategorized,
65,skypjack___entt@cf0da32fd0,deepseek-chat,1,skypjack___entt,10,Other / uncategorized,
66,skypjack___entt@cf0da32fd0,deepseek-chat,3,skypjack___entt,10,Other / uncategorized,
67,skypjack___entt@cf0da32fd0,gemini-2.5-flash,1,skypjack___entt,10,Other / uncategorized,
68,skypjack___entt@cf0da32fd0,gemini-2.5-flash,2,skypjack___entt,10,Other / uncategorized,
69,skypjack___entt@cf0da32fd0,gemini-2.5-flash,3,skypjack___entt,10,Other / uncategorized,
70,skypjack___entt@cf0da32fd0,gpt-5.4-or,1,skypjack___entt,10,Other / uncategorized,
71,skypjack___entt@cf0da32fd0,gpt-5.4-or,2,skypjack___entt,10,Other / uncategorized,
72,skypjack___entt@cf0da32fd0,gpt-5.4-or,3,skypjack___entt,10,Other / uncategorized,
