defect_id,model,run,source,coder1,coder2,agree,final_after_adjudication,adjudication_reason
fmtlib___fmt@2b7a146fa1,gemini-2.5-flash,3,not_reached,,,,,
fmtlib___fmt@2b7a146fa1,gpt-5.4-or,1,not_reached,,,,,
fmtlib___fmt@2b7a146fa1,gpt-5.4-or,2,not_reached,,,,,
fmtlib___fmt@2b7a146fa1,gpt-5.4-or,3,not_reached,,,,,
fmtlib___fmt@2b7a146fa1,qwen3-coder,3,not_reached,,,,,
fmtlib___fmt@6b7bfed40c,deepseek-chat,1,not_reached,,,,,
fmtlib___fmt@6b7bfed40c,deepseek-chat,2,not_reached,,,,,
fmtlib___fmt@6b7bfed40c,deepseek-chat,3,not_reached,,,,,
fmtlib___fmt@6b7bfed40c,gemini-2.5-flash,1,not_reached,,,,,
fmtlib___fmt@6b7bfed40c,gemini-2.5-flash,2,not_reached,,,,,
fmtlib___fmt@6b7bfed40c,gemini-2.5-flash,3,not_reached,,,,,
fmtlib___fmt@6b7bfed40c,gpt-5.4-or,1,not_reached,,,,,
fmtlib___fmt@6b7bfed40c,gpt-5.4-or,2,not_reached,,,,,
fmtlib___fmt@6b7bfed40c,gpt-5.4-or,3,not_reached,,,,,
fmtlib___fmt@6b7bfed40c,qwen3-coder,1,not_reached,,,,,
fmtlib___fmt@6b7bfed40c,qwen3-coder,2,not_reached,,,,,
fmtlib___fmt@6b7bfed40c,qwen3-coder,3,not_reached,,,,,
fmtlib___fmt@96c18b26c2,gpt-5.4-or,1,not_reached,,,,,
fmtlib___fmt@c04fb91b03,deepseek-chat,2,not_reached,,,,,
fmtlib___fmt@c04fb91b03,deepseek-chat,3,not_reached,,,,,
fmtlib___fmt@c04fb91b03,qwen3-coder,2,not_reached,,,,,
fmtlib___fmt@c04fb91b03,qwen3-coder,3,not_reached,,,,,
fmtlib___fmt@c1d430e61a,deepseek-chat,1,not_reached,,,,,
fmtlib___fmt@c1d430e61a,deepseek-chat,2,not_reached,,,,,
fmtlib___fmt@c1d430e61a,deepseek-chat,3,not_reached,,,,,
fmtlib___fmt@c1d430e61a,gemini-2.5-flash,3,not_reached,,,,,
fmtlib___fmt@c1d430e61a,gpt-5.4-or,1,not_reached,,,,,
fmtlib___fmt@c1d430e61a,gpt-5.4-or,2,not_reached,,,,,
fmtlib___fmt@c1d430e61a,gpt-5.4-or,3,not_reached,,,,,
fmtlib___fmt@c1d430e61a,qwen3-coder,1,not_reached,,,,,
fmtlib___fmt@c1d430e61a,qwen3-coder,2,not_reached,,,,,
fmtlib___fmt@c1d430e61a,qwen3-coder,3,not_reached,,,,,
fmtlib___fmt@cd7202e039,gpt-5.4-or,2,not_reached,,,,,
fmtlib___fmt@cd7202e039,qwen3-coder,1,not_reached,,,,,
fmtlib___fmt@cd7202e039,qwen3-coder,3,not_reached,,,,,
fmtlib___fmt@e6b37b4aff,deepseek-chat,1,not_reached,,,,,
fmtlib___fmt@e6b37b4aff,gemini-2.5-flash,1,not_reached,,,,,
fmtlib___fmt@e6b37b4aff,gemini-2.5-flash,2,not_reached,,,,,
fmtlib___fmt@e6b37b4aff,gemini-2.5-flash,3,not_reached,,,,,
fmtlib___fmt@e6b37b4aff,qwen3-coder,1,not_reached,,,,,
fmtlib___fmt@e6b37b4aff,qwen3-coder,2,not_reached,,,,,
fmtlib___fmt@e6b37b4aff,qwen3-coder,3,not_reached,,,,,
fmtlib___fmt@fc6e0fe992,deepseek-chat,1,not_reached,,,,,
fmtlib___fmt@fc6e0fe992,deepseek-chat,2,not_reached,,,,,
fmtlib___fmt@fc6e0fe992,gemini-2.5-flash,1,not_reached,,,,,
fmtlib___fmt@fc6e0fe992,gemini-2.5-flash,2,not_reached,,,,,
fmtlib___fmt@fc6e0fe992,qwen3-coder,1,not_reached,,,,,
fmtlib___fmt@fc6e0fe992,qwen3-coder,2,not_reached,,,,,
fmtlib___fmt@fc6e0fe992,qwen3-coder,3,not_reached,,,,,
skypjack___entt@cf0da32fd0,qwen3-coder,2,not_reached,,,,,
