defect_id,model,run,source,coder1,coder2,agree,final_after_adjudication,group,group_lastentry_rule,note,n_cases,n_valid,n_invalid,n_flaky,suite_reached_any,suite_reached_lastentry,suite_lines_any,suite_lines_lastentry,recorded_lines,reproduces_recorded,n_multi_entry_lines,n_valid_reaching,n_invalid_reaching,n_valid_reaching_lastentry,valid_reaching,invalid_reaching
fmtlib___fmt@287eaab3b2,qwen3-coder,1,orig,O2,O2,yes,O2,A,A,,3,1,2,0,True,True,2758 2759 2761 2762,2758 2759 2761 2762,2758 2759 2761 2762,True,0,1,1,1,FmtFormatTest.WriteWideChar,FmtFormatTest.WriteChar
fmtlib___fmt@287eaab3b2,qwen3-coder,2,orig,O2,O2,yes,O2,A,A,,5,2,3,0,True,True,2758 2759 2761 2762,2758 2759 2761 2762,2758 2759 2761 2762,True,0,2,0,2,FmtFormatTest.WriteChar; FmtFormatTest.WriteWideChar,
fmtlib___fmt@287eaab3b2,gpt-5.4-or,1,new_gpt5.4,O2,O2,yes,O2,A,A,,15,13,2,0,True,True,2758 2759 2761 2762,2758 2759 2761 2762,2758 2759 2761 2762,True,0,6,0,6,FmtWriteCharTest.FormatsControlCharacter; FmtWriteCharTest.FormatsNullCharAndPreservesLength; FmtWriteCharTest.FormatsSingleChar; FmtWriteCharTest.WidthZeroOrOneDoesNotAddUnexpectedCharacters; FmtWriteWCharTest.FormatsNullWideCharAndPreservesLength; FmtWriteWCharTest.FormatsSingleWideCharWithWformat,
fmtlib___fmt@287eaab3b2,gpt-5.4-or,2,new_gpt5.4,O2,O2,yes,O2,A,A,,16,13,3,0,True,True,2758 2759 2761 2762,2758 2759 2761 2762,2758 2759 2761 2762,True,0,7,0,7,FmtFormatWriteCharTest.FormatsControlCharactersAsRawCharacters; FmtFormatWriteCharTest.FormatsNullCharAndPreservesLength; FmtFormatWriteCharTest.FormatsSingleCharWithDefaultFormatter; FmtFormatWriteCharTest.RepeatedFormattingProducesIndependentCharacters; FmtFormatWriteLongDoubleTest.ConcatenatesWithOtherArgumentsCorrectly; FmtFormatWriteWCharTest.FormatsWideCharacterWithWideStringAPI; FmtFormatWriteWCharTest.FormatsWideNullCharacterAndPreservesLength,
fmtlib___fmt@287eaab3b2,gpt-5.4-or,3,new_gpt5.4,O2,O2,yes,O2,A,A,,15,13,2,0,True,True,2758 2759 2761 2762,2758 2759 2761 2762,2758 2759 2761 2762,True,4,9,0,5,FmtFormatWriteCharTest.FormatsBoundaryCharValues; FmtFormatWriteCharTest.FormatsNullCharPreservingLength; FmtFormatWriteCharTest.FormatsSingleCharWithFormat; FmtFormatWriteCharTest.WritesCharIntoMemoryBuffer; FmtFormatWriteCharTest.WritesLiteralCharViaFormatToBuffer; FmtFormatWriteLongDoubleTest.CanAppendLongDoubleAndCharsTogether; FmtFormatWriteWCharTest.FormatsSingleWideChar; FmtFormatWriteWCharTest.FormatsWideNullCharPreservingLength; FmtFormatWriteWCharTest.WritesWideCharIntoWideMemoryBuffer,
fmtlib___fmt@611cf0b3c6,qwen3-coder,3,orig,O4,O4,yes,O4,A,A,,9,4,5,0,True,True,1442 1443 1444 1447,1442 1443 1444 1447,1442 1443 1444 1447,True,0,4,2,4,FormatOctalTest.NormalOctalFormatting; FormatOctalTest.OctalBoundaryValues; FormatOctalTest.OctalNegativeValues; FormatOctalTest.OctalWithAltFlag,FormatOctalTest.OctalLargeValues; FormatOctalTest.OctalZeroValue
fmtlib___fmt@6a13464059,deepseek-chat,3,orig,O4,O4,yes,O4,A,A,,13,12,1,0,True,True,2819 2820 2821 2822 2823 2825,2819 2820 2821 2822 2823 2825,2819 2820 2821 2822 2823 2825,True,0,12,1,12,FormatSignTest.BooleanType; FormatSignTest.CharType; FormatSignTest.CustomIntegralType; FormatSignTest.FloatingPointTypes; FormatSignTest.MaximumValues; FormatSignTest.MixedSpecifiers; FormatSignTest.NegativeValues; FormatSignTest.SignedCharType; FormatSignTest.SignedIntegerTypes; FormatSignTest.StringType; FormatSignTest.UnsignedIntegerTypes; FormatSignTest.ZeroValues,FormatSignTest.LongLongTypes
fmtlib___fmt@6a13464059,qwen3-coder,1,orig,O4,O4,yes,O4,A,A,,10,8,2,0,True,True,2819 2820 2821 2822 2823 2825,2819 2820 2821 2822 2823 2825,2819 2820 2821 2822 2823 2825,True,0,6,1,6,SignTest.TestCharType; SignTest.TestNegativeValues; SignTest.TestSignedIntegerTypes; SignTest.TestUnsignedTypesError; SignTest.TestVariousIntegralTypes; SignTest.TestZeroValues,SignTest.TestNonIntegralTypesError
fmtlib___fmt@6a13464059,gpt-5.4-or,2,new_gpt5.4,O4,O4,yes,O4,A,A,,9,8,1,0,True,True,2819 2820 2821 2822 2823 2825,2819 2820 2821 2822 2823 2825,2819 2820 2821 2822 2823 2825,True,0,8,1,8,FmtCoreOnSignTest.DynamicWidthAndPrecisionDoNotAffectSignValidationForUnsigned; FmtCoreOnSignTest.FloatingPointArgumentsAcceptSignSpecifier; FmtCoreOnSignTest.FormatErrorMessageMentionsSignedArgumentForUnsignedIntegral; FmtCoreOnSignTest.NonNumericArgumentsRejectSignSpecifier; FmtCoreOnSignTest.SignedIntegerBoundaryValuesFormatSuccessfully; FmtCoreOnSignTest.SignedIntegerTypesAcceptPlusSign; FmtCoreOnSignTest.UnsignedIntegralTypesRejectMinusAndSpaceSignSpecifiers; FmtCoreOnSignTest.UnsignedIntegralTypesRejectPlusSign,FmtCoreOnSignTest.CharacterTypeAcceptsPlusSignAsSignedArgument
fmtlib___fmt@6a13464059,gpt-5.4-or,3,new_gpt5.4,O4,O4,yes,O4,A,A,,6,5,1,0,True,True,2819 2820 2821 2822 2823 2825,2819 2820 2821 2822 2823 2825,2819 2820 2821 2822 2823 2825,True,0,5,1,5,FmtCoreOnSignTest.BoolRejectsPlusSignAsUnsignedIntegralLikeType; FmtCoreOnSignTest.FloatingPointArgumentsAcceptPlusSign; FmtCoreOnSignTest.NonNumericArgumentsRejectSignSpecifier; FmtCoreOnSignTest.SignedIntegralTypesAcceptPlusSign; FmtCoreOnSignTest.UnsignedIntegralTypesRejectPlusSign,FmtCoreOnSignTest.CharTypeAcceptsPlusSign
fmtlib___fmt@96c18b26c2,deepseek-chat,1,orig,O4,O3,NO,O4,A,A,,11,10,1,0,True,True,258 259 260 261 263,263,263,True,5,1,1,1,PrintfFormatterTest.NumericTypesStillWork,PrintfFormatterTest.SingleCharacter
fmtlib___fmt@96c18b26c2,deepseek-chat,2,orig,O4,O3,NO,O4,A,A,,27,25,2,0,True,True,258 259 260 261 263,263,263,True,5,4,1,3,PrintfFormatterTest.AltResetForNonNumeric; PrintfFormatterTest.MultipleFormatSpecifiers; PrintfFormatterTest.SignResetForNonNumeric; PrintfFormatterTest.ZeroFlagWorksForIntegers,PrintfFormatterTest.ZeroFlagIgnoredForChars
fmtlib___fmt@96c18b26c2,deepseek-chat,3,orig,O4,O3,NO,O4,A,A,,20,14,6,0,True,True,258 259 260 261 263,263,263,True,5,2,2,2,PrintfFormatterTest.FlagResetAfterStringFormatting; PrintfFormatterTest.ZeroFlagWorksForIntegers,PrintfFormatterTest.MultipleFormatsWithMixedTypes; PrintfFormatterTest.ZeroFlagIgnoredForChar
fmtlib___fmt@96c18b26c2,gemini-2.5-flash,1,orig,O4,O4,yes,O4,A,A,,4,1,3,0,True,True,258 259 260 261 263,263,263,True,5,1,3,1,PrintfFormatterTest.IntegerEdgeValues,PrintfFormatterTest.IntegerNoZeroFlagAndAlignment; PrintfFormatterTest.IntegerZeroFlagAndAlignment; PrintfFormatterTest.NonIntegerTypesZeroFlagIgnored
fmtlib___fmt@96c18b26c2,gemini-2.5-flash,3,orig,O4,O4,yes,O4,A,A,,7,5,2,0,True,True,258 259 260 261 263,263,263,True,5,5,2,4,PrintfFormatIntegralTest.AlternateForm; PrintfFormatIntegralTest.BasicIntegerFormatting; PrintfFormatIntegralTest.MaxIntValues; PrintfFormatIntegralTest.SignFlags; PrintfFormatIntegralTest.WidthAndPrecision,PrintfFormatIntegralTest.ZeroFlagWithNonNumericAlign; PrintfFormatIntegralTest.ZeroValue
fmtlib___fmt@96c18b26c2,qwen3-coder,1,orig,O4,O4,yes,O4,A,A,,10,9,1,0,True,True,258 259 260 261 263,263,263,True,5,6,1,3,PrintfTest.FormatHexadecimal; PrintfTest.FormatIntegerEdgeCases; PrintfTest.FormatIntegerWithSignAndFlags; PrintfTest.FormatMixed; PrintfTest.FormatOctal; PrintfTest.FormatUnsignedInteger,PrintfTest.FormatCharacter
fmtlib___fmt@96c18b26c2,qwen3-coder,2,orig,O4,O4,yes,O4,A,A,,10,10,0,0,True,True,263,263,263,True,5,10,0,9,PrintfTest.FormatIntegerAlignment; PrintfTest.FormatIntegerEdgeCases; PrintfTest.FormatIntegerNegativeValues; PrintfTest.FormatIntegerSpecialCases; PrintfTest.FormatIntegerVariousTypes; PrintfTest.FormatIntegerWidthAndPrecision; PrintfTest.FormatIntegerWithAltForm; PrintfTest.FormatIntegerWithFlags; PrintfTest.FormatIntegerWithSign; PrintfTest.FormatIntegerZeroPadding,
fmtlib___fmt@96c18b26c2,qwen3-coder,3,orig,O4,O4,yes,O4,A,A,,6,6,0,0,True,True,263,263,263,True,5,6,0,6,PrintfTest.FormatIntegerAlignmentAndFlags; PrintfTest.FormatIntegerBounds; PrintfTest.FormatIntegerEdgeCases; PrintfTest.FormatIntegerSpecialCases; PrintfTest.FormatIntegerVariousTypes; PrintfTest.FormatIntegerWithSignAndFlags,
fmtlib___fmt@971fb584c3,qwen3-coder,1,orig,O4,O4,yes,O4,A,A,,15,8,7,0,True,True,3003 3004 3005 3006 3007 3008,3003 3004 3005 3006 3007 3008,3003 3004 3005 3006 3007 3008,True,0,8,5,8,BasicContextTest.GetArgComplexFormatting; BasicContextTest.GetArgMissingArgument; BasicContextTest.GetArgMultipleArguments; BasicContextTest.GetArgRepeatedNames; BasicContextTest.GetArgSingleCharacterNames; BasicContextTest.GetArgWithNamedArguments; BasicContextTest.GetArgWithNumbersInNames; BasicContextTest.GetArgWithUnderscores,BasicContextTest.GetArgLongNames; BasicContextTest.GetArgMixedNamedAndPositional; BasicContextTest.GetArgWithEmptyName; BasicContextTest.GetArgWithSpacesInNames; BasicContextTest.GetArgWithSpecialCharacters
fmtlib___fmt@971fb584c3,qwen3-coder,2,orig,O4,O4,yes,O4,A,A,,16,13,3,0,True,True,3003 3004 3005 3006 3007 3008,3003 3004 3005 3006 3007 3008,3003 3004 3005 3006 3007 3008,True,0,12,2,12,BasicContextTest.GetArgWithComplexFormat; BasicContextTest.GetArgWithFloatValue; BasicContextTest.GetArgWithLargeStringArgument; BasicContextTest.GetArgWithMixedArguments; BasicContextTest.GetArgWithMultipleNamedArguments; BasicContextTest.GetArgWithNamedArgument; BasicContextTest.GetArgWithNegativeValue; BasicContextTest.GetArgWithNestedFormatting; BasicContextTest.GetArgWithNonExistentArgument; BasicContextTest.GetArgWithOnlyNamedArguments; BasicContextTest.GetArgWithRepeatedNames; BasicContextTest.GetArgWithZeroValue,BasicContextTest.GetArgWithEmptyName; BasicContextTest.GetArgWithSpecialCharactersInName
fmtlib___fmt@971fb584c3,qwen3-coder,3,orig,O4,O4,yes,O4,A,A,,11,8,3,0,True,True,3003 3004 3005 3006 3007 3008,3003 3004 3005 3006 3007 3008,3003 3004 3005 3006 3007 3008,True,0,7,3,7,BasicContextTest.GetArgWithComplexTypes; BasicContextTest.GetArgWithMissingNamedArgument; BasicContextTest.GetArgWithMultipleArguments; BasicContextTest.GetArgWithNamedArgument; BasicContextTest.GetArgWithOnlyNamedArguments; BasicContextTest.GetArgWithRepeatedNames; BasicContextTest.GetArgWithZeroValues,BasicContextTest.GetArgWithEmptyName; BasicContextTest.GetArgWithMixedArguments; BasicContextTest.GetArgWithSpecialCharacters
fmtlib___fmt@971fb584c3,gpt-5.4-or,1,new_gpt5.4,O2,O4,NO,O4,A,A,,12,9,3,0,True,True,3003 3004 3005 3006 3007 3008,3003 3004 3005 3006 3007 3008,3003 3004 3005 3006 3007 3008,True,0,7,1,7,FmtNamedArgumentLookupTest.MissingNamedArgumentThrowsFormatError; FmtNamedArgumentLookupTest.MissingNamedArgumentWithNoArgumentsThrowsFormatError; FmtNamedArgumentLookupTest.NameLookupIsCaseSensitive; FmtNamedArgumentLookupTest.NameLookupIsExact; FmtNamedArgumentLookupTest.ReturnsNamedIntegerArgument; FmtNamedArgumentLookupTest.ReturnsNamedStringArgument; FmtNamedArgumentLookupTest.ReusesSameNamedArgumentMultipleTimes,FmtNamedArgumentLookupTest.FindsNamedArgumentAmongPositionalArguments
fmtlib___fmt@971fb584c3,gpt-5.4-or,2,new_gpt5.4,O2,O4,NO,O4,A,A,,10,9,1,0,True,True,3003 3004 3005 3006 3007 3008,3003 3004 3005 3006 3007 3008,3003 3004 3005 3006 3007 3008,True,0,8,1,8,FmtNamedArgumentLookupTest.MissingNamedArgumentAmongExistingNamedArgumentsThrowsFormatError; FmtNamedArgumentLookupTest.MissingNamedArgumentThrowsFormatError; FmtNamedArgumentLookupTest.NameLookupIsCaseSensitive; FmtNamedArgumentLookupTest.NamedArgumentWorksWithFormatToBufferAPI; FmtNamedArgumentLookupTest.RepeatedLookupOfSameNamedArgumentWorks; FmtNamedArgumentLookupTest.RetrievesMultipleNamedArgumentsAndPreservesMapping; FmtNamedArgumentLookupTest.RetrievesNamedArgumentByName; FmtNamedArgumentLookupTest.SimilarPrefixesDoNotMatchWrongArgument,FmtNamedArgumentLookupTest.UnicodeLikeBytesInArgumentNameAreMatchedExactly
fmtlib___fmt@c04fb91b03,gemini-2.5-flash,3,orig,O2,O4,NO,O2,A,A,,9,8,1,0,True,True,3216 3219 3221,3216 3219 3221,3216 3219 3221,True,3,7,1,5,EnumFormatterTest.BasicEnumFormatting; EnumFormatterTest.CharEnumFormatting; EnumFormatterTest.CustomUnderlyingTypeEnumFormatting; EnumFormatterTest.EnumWithFormatSpecifiers; EnumFormatterTest.MultipleEnumTypes; EnumFormatterTest.NegativeEnumValueFormatting; EnumFormatterTest.ZeroEnumValueFormatting,EnumFormatterTest.LongEnumFormatting
fmtlib___fmt@cd7202e039,deepseek-chat,1,orig,O4,O4,yes,O4,A,B,,11,5,6,0,True,True,1838 1839 1841 1843,1838 1843,1838 1843,True,4,5,6,0,ChronoWriteFractionalSecondsTest.DurationCastTruncation; ChronoWriteFractionalSecondsTest.IntegerSeconds; ChronoWriteFractionalSecondsTest.Microseconds; ChronoWriteFractionalSecondsTest.Milliseconds; ChronoWriteFractionalSecondsTest.Nanoseconds,ChronoWriteFractionalSecondsTest.BoundarySeconds; ChronoWriteFractionalSecondsTest.CustomPrecision; ChronoWriteFractionalSecondsTest.NegativeDuration; ChronoWriteFractionalSecondsTest.SecondsWithFraction; ChronoWriteFractionalSecondsTest.VerySmallFraction; ChronoWriteFractionalSecondsTest.ZeroDuration
fmtlib___fmt@cd7202e039,deepseek-chat,2,orig,O4,O4,yes,O4,A,A,,11,3,8,0,True,True,1838 1839 1841 1843,1838 1843,1838 1843,True,5,3,8,1,ChronoWriteFractionalSecondsTest.DifferentPeriodTypes; ChronoWriteFractionalSecondsTest.IntegerSeconds; ChronoWriteFractionalSecondsTest.LargeFractional,ChronoWriteFractionalSecondsTest.DifferentRepTypes; ChronoWriteFractionalSecondsTest.LargeValues; ChronoWriteFractionalSecondsTest.NegativeNearZero; ChronoWriteFractionalSecondsTest.NegativeSeconds; ChronoWriteFractionalSecondsTest.PrecisionSpecifier; ChronoWriteFractionalSecondsTest.SecondsWithFractional; ChronoWriteFractionalSecondsTest.SmallFractional; ChronoWriteFractionalSecondsTest.ZeroDuration
fmtlib___fmt@cd7202e039,deepseek-chat,3,orig,O4,O4,yes,O4,A,B,,15,4,11,0,True,True,1838 1839 1841 1843,1838 1843,1838 1843,True,4,4,7,0,ChronoFractionalSecondsTest.IntegerDurationSeconds; ChronoFractionalSecondsTest.MicrosecondsDurationSeconds; ChronoFractionalSecondsTest.MillisecondsDurationSeconds; ChronoFractionalSecondsTest.NanosecondsDurationSeconds,ChronoFractionalSecondsTest.DefaultFormatSeconds; ChronoFractionalSecondsTest.LargeFractionalSeconds; ChronoFractionalSecondsTest.NegativeDurationSeconds; ChronoFractionalSecondsTest.RoundingFractionalSeconds; ChronoFractionalSecondsTest.SmallFractionalSeconds; ChronoFractionalSecondsTest.ZeroDurationSeconds; ChronoFractionalSecondsTest.ZeroFractionalSeconds
fmtlib___fmt@cd7202e039,gpt-5.4-or,1,new_gpt5.4,O4,O4,yes,O4,A,A,,10,3,7,0,True,True,1839 1841 1843,1839 1841 1843,1839 1841 1843,True,3,3,1,1,FmtChronoDurationFormattingTest.BoundaryAroundMinuteStillFormatsSecondsFieldCorrectly; FmtChronoDurationFormattingTest.FractionalFormattingWorksWithCustomChronoSpec; FmtChronoDurationFormattingTest.MinutesAndHoursUseSecondFieldModuloSixtyWithFraction,FmtChronoDurationFormattingTest.StringFormattingIsConsistent
fmtlib___fmt@cd7202e039,gpt-5.4-or,3,new_gpt5.4,O4,O4,yes,O4,A,A,,10,9,1,0,True,True,1839 1841 1843,1839 1841 1843,1839 1841 1843,True,3,9,0,2,FmtChronoDurationSecondsFormattingTest.BoundaryAroundSecondTransitionIsCorrect; FmtChronoDurationSecondsFormattingTest.CustomRatioDurationFormatsFractionalSecondsCorrectly; FmtChronoDurationSecondsFormattingTest.FormattingDistinguishesWholeAndFractionalDurations; FmtChronoDurationSecondsFormattingTest.FractionalFormattingUsesSecondFieldModuloMinute; FmtChronoDurationSecondsFormattingTest.MicrosecondsAppendFractionalPartWithSixDigits; FmtChronoDurationSecondsFormattingTest.MillisecondsAppendFractionalPart; FmtChronoDurationSecondsFormattingTest.NanosecondsAppendFractionalPartWithNineDigits; FmtChronoDurationSecondsFormattingTest.NegativeFractionalDurationsKeepSignAndFraction; FmtChronoDurationSecondsFormattingTest.WholeSecondsDoNotShowFraction,
fmtlib___fmt@fc6e0fe992,deepseek-chat,3,orig,O2,O2,yes,O2,A,A,,14,11,3,0,True,True,2927 2928 2929 2930 2931 2932 2933,2927 2928 2929 2930 2931 2932 2933,2927 2928 2929 2930 2931 2932 2933,True,0,3,0,3,NumericAlignmentTest.DefaultNumericBecomesRight; NumericAlignmentTest.NumericAlignmentDifferentTypes; NumericAlignmentTest.NumericToRightWithoutSign,
fmtlib___fmt@fc6e0fe992,gemini-2.5-flash,3,orig,O2,O2,yes,O2,B,B,only invalid/flaky cases reach the patched region,14,12,2,0,True,True,2927 2928,2927 2928,2927 2928,True,0,0,1,0,,FmtAlignSignTest.DifferentTypes
fmtlib___fmt@fc6e0fe992,gpt-5.4-or,1,new_gpt5.4,O2,O2,yes,O2,B,B,only invalid/flaky cases reach the patched region,10,3,7,0,True,True,2927 2928 2929 2930 2931 2932 2933,2927 2928 2929 2930 2931 2932 2933,2927 2928 2929 2930 2931 2932 2933,True,0,0,1,0,,FmtFormatSignAlignmentTest.FloatingPointNumericAlignmentPlacesSignBeforeZeros
fmtlib___fmt@fc6e0fe992,gpt-5.4-or,2,new_gpt5.4,O2,O2,yes,O2,A,A,,15,14,1,0,True,True,2927 2928 2929 2930 2931 2932 2933,2927 2928 2929 2930 2931 2932 2933,2927 2928 2929 2930 2931 2932 2933,True,0,2,0,2,FmtFormatSignAlignmentTest.ExplicitNumericAlignmentForFloatingPointPlacesSignBeforePadding; FmtFormatSignAlignmentTest.NegativeZeroFormattingWithFloatingPointUsesSameSignPlacementRules,
fmtlib___fmt@fc6e0fe992,gpt-5.4-or,3,new_gpt5.4,O2,O2,yes,O2,A,A,,15,15,0,0,True,True,2927 2928 2929 2930 2931 2932 2933,2927 2928 2929 2930 2931 2932 2933,2927 2928 2929 2930 2931 2932 2933,True,0,2,0,2,FmtFormatSignAlignmentTest.NegativeZeroFormattingPreservesSignAndAlignmentRules; FmtFormatSignAlignmentTest.SignAwarePaddingForFloatingPoint,
